IES.PADRE,InstituciÃ³n de EducaciÃ³n Superior (IES),Programa Académico,Id GÃ©nero,AÃ±o,Semestre,Total Matriculados
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO INFORMATICO,1,2017,1,595
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN DESARROLLO INFORMATICO,2,2017,1,97
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,1,2017,1,1230
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,2,2017,1,956
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTROMEDICINA,1,2017,1,247
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTROMEDICINA,2,2017,1,244
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA INDUSTRIAL,1,2017,1,580
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA INDUSTRIAL,2,2017,1,45
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,1,2017,1,2059
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MECANICA AUTOMOTRIZ,2,2017,1,59
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,1,2017,1,59
5802,UNIVERSIDAD ECCI,TECNICA PROFESIONAL EN MECANICA AUTOMOTRIZ,2,2017,1,2
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,1,2017,1,151
5802,UNIVERSIDAD ECCI,INGENIERIA MECATRONICA,2,2017,1,20
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,1,2017,1,790
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,2,2017,1,72
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,1,2017,1,31
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,2,2017,1,17
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,1,2017,1,30
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,2,2017,1,197
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,1,2017,1,37
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,2,2017,1,59
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,1,2017,1,13
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,2,2017,1,6
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,1,2017,1,118
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,2,2017,1,203
5802,UNIVERSIDAD ECCI,ESPECIALIZACIÓN EN EDUCACIÓN PARA LA SOSTENIBILIDAD AMBIENTAL,1,2017,1,17
5802,UNIVERSIDAD ECCI,ESPECIALIZACIÓN EN EDUCACIÓN PARA LA SOSTENIBILIDAD AMBIENTAL,2,2017,1,28
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MERCADEO Y DISEÑO PUBLICITARIO,1,2017,1,325
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MERCADEO Y DISEÑO PUBLICITARIO,2,2017,1,358
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,1,2017,1,46
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,2,2017,1,85
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN INNOVACION DOCENTE MEDIADA POR TIC,1,2017,1,8
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN INNOVACION DOCENTE MEDIADA POR TIC,2,2017,1,6
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DEL COMERCIO EXTERIOR,1,2017,1,5
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DEL COMERCIO EXTERIOR,2,2017,1,6
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION GASTRONOMICA,1,2017,1,85
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION GASTRONOMICA,2,2017,1,31
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,1,2017,1,18
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,2,2017,1,5
5802,UNIVERSIDAD ECCI,MAESTRIA EN GERENCIA DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION TIC,1,2017,1,9
5802,UNIVERSIDAD ECCI,MAESTRIA EN GERENCIA DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION TIC,2,2017,1,3
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,1,2017,1,30
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,2,2017,1,2
5802,UNIVERSIDAD ECCI,DERECHO,1,2017,1,6
5802,UNIVERSIDAD ECCI,DERECHO,2,2017,1,16
5802,UNIVERSIDAD ECCI,MAESTRIA EN INGENIERIA,1,2017,1,15
5802,UNIVERSIDAD ECCI,MAESTRIA EN INGENIERIA,2,2017,1,1
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE COMERCIO EXTERIOR,1,2018,1,209
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,1,2018,1,691
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,1,2018,1,199
5802,UNIVERSIDAD ECCI,COMERCIO INTERNACIONAL,2,2018,1,306
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,1,2018,1,48
5802,UNIVERSIDAD ECCI,CONTADURÍA PÚBLICA,2,2018,1,128
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,1,2018,1,16
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN PRODUCCION Y LOGISTICA INTERNACIONAL,2,2018,1,9
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE MANTENIMIENTO,1,2018,1,79
