IES.PADRE,IES,Programa Académico,GÉNERO,AÑO,Semestre,Total Matriculados
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,HOMBRE,2017,1,790
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,MUJER,2017,1,72
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,HOMBRE,2017,1,31
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN PROCESAMIENTO DE PLASTICOS,MUJER,2017,1,17
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,HOMBRE,2017,1,30
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN CREACION Y PRODUCCION DE MODA,MUJER,2017,1,197
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,HOMBRE,2017,1,37
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,MUJER,2017,1,59
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,HOMBRE,2017,1,13
5802,UNIVERSIDAD ECCI,ESTADÍSTICA,MUJER,2017,1,6
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,HOMBRE,2017,1,118
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN GERENCIA DE LA SEGURIDAD Y SALUD EN EL TRABAJO,MUJER,2017,1,203
5802,UNIVERSIDAD ECCI,ESPECIALIZACIÓN EN EDUCACIÓN PARA LA SOSTENIBILIDAD AMBIENTAL,HOMBRE,2017,1,17
5802,UNIVERSIDAD ECCI,ESPECIALIZACIÓN EN EDUCACIÓN PARA LA SOSTENIBILIDAD AMBIENTAL,MUJER,2017,1,28
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MERCADEO Y DISEÑO PUBLICITARIO,HOMBRE,2017,1,325
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN MERCADEO Y DISEÑO PUBLICITARIO,MUJER,2017,1,358
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,HOMBRE,2017,1,46
5802,UNIVERSIDAD ECCI,PROFESIONAL EN LENGUAS MODERNAS,MUJER,2017,1,85
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN INNOVACION DOCENTE MEDIADA POR TIC,HOMBRE,2017,1,8
5802,UNIVERSIDAD ECCI,ESPECIALIZACION EN INNOVACION DOCENTE MEDIADA POR TIC,MUJER,2017,1,6
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DEL COMERCIO EXTERIOR,HOMBRE,2017,1,5
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DEL COMERCIO EXTERIOR,MUJER,2017,1,6
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION GASTRONOMICA,HOMBRE,2017,1,85
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION GASTRONOMICA,MUJER,2017,1,31
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,HOMBRE,2017,1,18
5802,UNIVERSIDAD ECCI,TECNOLOGIA EN GESTION DE PROCESOS INDUSTRIALES,MUJER,2017,1,5
5802,UNIVERSIDAD ECCI,MAESTRIA EN GERENCIA DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION TIC,HOMBRE,2017,1,9
5802,UNIVERSIDAD ECCI,MAESTRIA EN GERENCIA DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION TIC,MUJER,2017,1,3
